Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
1,21.00,0,2,0,17.20055577,0,1,0,0,0,1,0,1,1.5,1,1,1,1,1,1,1,0,0,0,6.84,97
2,65.00,1,1,1,20.95331729,0,0,1,0,1,0,0,4,1,2,1,1,0,0,0,1,0,0,1,10.92,96
3,60.00,1,3,1,0.918609165,1,0,0,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,48.36,97
4,34.00,1,2,0,2.310562248,1,0,0,0,1,0,0,3,1,2,1,1,1,1,0,1,0,1,1,10.44,98
5,20.00,0,1,0,4.179132821,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,0,0,0,0,1.68,90
6,26.00,1,5,1,6.593572496,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,2.76,96
7,60.00,0,1,0,8.900547755,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,2.76,100
8,50.00,0,1,0,17.88055017,0,0,1,0,1,0,0,4,1,1,1,1,0,1,1,0,1,0,0,34.68,90
9,37.00,0,1,1,1.111643653,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,9.96,93
10,48.00,1,5,1,1.030457006,1,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,1,51.96,97
11,140.00,0,1,0,1.289854799,1,0,0,0,1,0,0,5,2,2,1,1,0,0,0,1,0,1,1,6.12,93
12,32.00,0,2,1,3.087210674,0,0,1,0,0,1,0,2,2.5,1,1,1,1,0,0,1,0,1,1,6.24,94
13,85.00,0,1,1,1.409766616,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,11.16,95
14,90.00,1,5,1,10.284063,0,0,1,0,1,0,0,16,2.5,5,1,1,0,1,0,1,0,1,1,28.56,96
15,28.00,0,1,1,7.884089462,0,0,1,0,0,1,0,2,1.5,1,1,1,0,0,0,1,0,0,0,10.44,99
16,36.00,0,1,1,10.72283959,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,6.96,95
17,72.00,0,1,1,16.50479613,0,0,1,0,1,0,0,8,2.5,3,1,1,0,1,0,1,0,0,0,3.96,93
18,25.00,0,1,0,22.0656648,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,,
19,14.00,0,4,1,3.388141726,0,0,1,0,0,1,0,1,2,1,1,1,0,0,1,1,0,0,0,24.48,86
20,18.00,0,4,1,3.5180293,0,0,1,0,0,1,0,2,2,1,1,1,0,1,1,1,0,0,0,11.88,83
21,22.00,0,4,1,3.384283316,0,0,1,0,0,1,0,2,2,1,1,1,0,1,1,1,0,0,0,3.48,90
22,85.00,1,6,0,1.661193496,1,0,0,0,1,0,0,6,1,2,1,1,0,1,0,1,0,1,1,28.92,96
23,58.00,1,1,1,12.25874101,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,0,1,1,30.84,99
24,40.00,0,2,1,3.913764501,0,0,1,0,0,1,0,6,2,1,1,1,0,1,0,1,0,0,0,12.6,89
25,39.00,1,2,0,1.417808784,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,48.6,97
26,35.00,1,4,1,4.734806078,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,40.2,94
27,31.00,1,3,1,6.334006924,0,0,1,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,59.28,97
28,65.00,1,1,0,1.085139271,1,0,0,0,0,1,0,2,1.5,1,1,1,1,1,1,0,0,0,0,27.12,97
29,35.00,0,1,0,8.146432101,0,0,1,0,0,1,0,2,1,1,1,1,0,1,1,0,0,0,0,1.32,60
30,85.00,0,2,1,2.256392157,1,0,0,0,1,0,0,4,2,2,1,1,0,1,0,1,0,1,1,25.44,92
31,30.00,0,1,1,5.51234992,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0.84,100
32,33.00,0,3,0,2.363910327,0,0,1,0,0,1,0,1,2,1,1,1,0,1,0,1,0,0,0,4.68,91
33,33.00,0,3,0,2.506220908,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,2.52,94
34,30.00,0,2,1,3.680165419,0,0,1,0,0,1,0,5,2,1,1,1,0,1,1,1,0,0,0,3.84,87
35,55.00,1,1,0,5.890882311,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,0,0,0,23.76,95
36,72.00,0,2,1,9.90843549,0,0,1,0,1,0,0,4,1.5,2,1,1,0,1,0,1,0,0,0,11.88,94
37,25.00,0,2,0,6.185056252,0,0,1,0,0,1,0,2,1,1,0,1,0,1,0,0,1,0,0,14.04,94
38,30.00,1,2,0,2.287825446,0,1,0,0,0,1,0,3,1,2,1,1,1,1,0,1,0,1,1,3.6,95
39,45.00,1,2,0,11.68816879,0,0,1,0,0,1,0,2,1.5,1,1,1,1,1,0,0,0,1,1,10.68,98
40,34.00,0,1,1,3.193371954,0,1,0,0,0,1,0,1,,1,1,1,1,0,0,1,0,0,0,12.6,98
41,36.00,1,3,1,6.462199209,0,0,1,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,54.6,98
42,36.00,1,4,1,5.463969072,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,8.04,99
43,35.00,1,4,1,5.538799646,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,10.68,100
44,44.00,1,4,1,5.51266145,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,20.04,99
45,66.00,0,1,0,5.291131407,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,,
46,19.00,1,2,1,3.437452554,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,5.04,76
47,21.00,0,1,1,3.393504098,0,0,1,0,0,1,0,1,1.5,1,1,1,1,1,0,1,0,0,0,4.92,94
